,标题,价格,销量,店铺,店铺信誉分,等级
16,纽曼 l6+老人机超长待机大屏大字大声直板按键移动电信版中老年手机学生正品儿童功能机女天翼三防备用小手机,69,20000,纽曼深圳专卖店,4.87159,值得
68,【6.1-6.2 低至1799 享6期免息】OPPO R17全面屏拍照手机AI智能屏幕指纹官方旗舰店正品oppor17 x23,1999,4410,苏宁易购官方旗舰店,4.89433,一般
330,咨询领券可减370元/6期免息/送无线充】Xiaomi/小米 小米9手机Plus官方旗舰mix3骁龙855透明尊享版红米K20pro,2999,1109,广东电信亿品汇专卖店,4.84214,不值得 
247,Coolpad/酷派 1831-A0全面屏学生价游戏超薄安卓智能手机全网通,489,1439,乐淘猫科技,4.83377,不值得 
133,Philips/飞利浦 E288 三防老人手机直板老人机大字大声大屏老年手机移动联通军工品质持久续航防尘防摔备用机,239,2239,优佳讯数码专营店,4.95185,不值得 
321,官网直降1580元Huawei/华为 Mate 20 Pro手机P30降价mate20x正品,2798,1127,深港通信专卖,4.8813,不值得 
258,花呗0元购 正品水滴全面屏安卓智能游戏学生价手机超薄指纹全网通,103,1361,花十少1106,4.7122,不值得 
301,【6+64G领券低至1269起】当天发+手环 Xiaomi/小米8青春版手机小米官方旗舰店9se红米note7官网正品8seK20pro,1079,1192,三际数码官方旗舰店,4.8495,不值得 
50,Apple/苹果 iPhone XS Max 苹果xs max 苹果XR双卡正品手机8X国行,3742.2,5500,亦儿手机店,4.99017,一般
189,Samsung/三星 GALAXY S8+ plus港版美版s8双卡曲面屏手机SM-G9550,1599,1755,淘吧电讯,4.82966,不值得 
245,酷驰 X23水滴屏学生价超薄大屏游戏安卓智能电信全网通手机正品,388,1443,地球上的智商人,4.61927,不值得 
271,Xiaomi/小米 Redmi K20骁龙 855红米k20pro官方旗舰新手机9大魔王,2199,1276,heatlinda,4.80853,不值得 
48,【一年换新】新Nokia/诺基亚105 手机移动直板按键学生老人备用机 诺基亚 老人手机 诺基亚105 官方旗舰店,139,6000,苏宁易购官方旗舰店,4.89433,一般
41,【6+64G下单低至1299】Xiaomi/小米 小米8 青春版全面屏智能拍照游戏手机学生商务9官方旗舰店正品note7,1499,7000,小米官方旗舰店,4.87582,一般
142,纽曼 F6 移动电信版翻盖老人手机大声大字大屏男女款老年手机超长待机正品军工三防按键学生备用老年机,98,2161,金辉天成数码专营店,4.9097,不值得 
30,纽曼 F9老年机翻盖手机大屏大字大声移动联通4G全网通老人手机超长待机正品男女款电信版老年手机学生老人机,159,10000,慕尚年华数码专营店,4.85493,值得
7,【6.1日赠耳机】Xiaomi/小米 Redmi 7 红米7 骁龙632八核智能拍照手机K20官方旗舰学生老人机note7pro红米6,799,30000,小米官方旗舰店,4.87582,值得
223,12期分期/省540/送900礼Huawei/华为 nova 4e 手机官方旗舰店正品Mate20pro降价p30pro新款3p20 nova4e nova4,1799,1524,同步飞扬数码专营店,4.88018,不值得 
186,【三期免息+碎屏保】华为honor/荣耀 畅玩7智能手机7C/7A老人机8a,489,1760,龙通店,4.77704,不值得 
307,黑鲨2代【直降700】Xiaomi/小米 黑鲨游戏手机 2骁龙855黑鲨3代2,2849,1163,wezebaba,4.81833,不值得 
122,【6期免息 最高直降300】Huawei/华为 nova4极点全面屏超广角三摄高清易烊千玺代言华为官方旗舰店铺正品手机,2499,2555,苏宁易购官方旗舰店,4.89433,不值得 
193,Samsung/三星 GALAXY S9+plus三星手机港版盖乐世s9原装正品全新,1368,1740,ziyo数码,4.88842,不值得 
23,【领券低至2399元】华为HONOR/荣耀V20新品全视屏麒麟980处理器4800万AI摄影智能游戏学生手机10官网,2699,10000,荣耀官方旗舰店,4.84742,值得
158,现货【6期免息】Huawei/华为 nova 4 手机官方旗舰店nova4e官网p30 pro新款降价mate20正品nova3i学生手机12,2499,1990,京合旗舰店,4.86087,不值得 
104,【12期免息丨赠移动电源】 Meitu/美图 T9美图T9手机新款双卡双待美颜拍照手机 美图手机正品,1499,3024,美图旗舰店,4.75183,一般
107,【立减50】华为HONOR/荣耀 畅玩7全面屏手机智能手机官方旗舰店官网全新机正品老人机老年机老年手机全网通,599,2919,荣耀官方旗舰店,4.84742,不值得 
265,Philips/飞利浦 E256S 翻盖老人机大字大声大屏超长待机老年手机男女款移动 双卡双待按键学生备用机诺基亚,288,1315,华宇广诚数码专营店,4.94894,不值得 
185,纽曼 L9全网通三防老年手机超长待机移动电信大字大声老人手机大屏正品老年机军工路虎诺基亚学生直板老人机,289,1761,宸欣数码专营店,4.98723,不值得 
337,vivo iQOO全新正品手机官网 vivoiqoo限量版 voviiqoo iq00骑士黑 x30 vivoiq 爱酷艾酷游戏手机骁龙855 bbk,2798,1081,首佳誉数码专营店,4.90391,不值得 
226,魅族note8【立省420元+送599元耳机/电源18壕礼】Meizu/魅族 note8手机官方旗舰店魅蓝v8高配版note6 8 note9,725,1511,魅族得者淘专卖店,4.79122,不值得 
293,OBXIN/欧博信 OX2全网通全面屏刘海水滴面部解锁一体机8G运行手机,189,1218,紫色角洛,4.9656,不值得 
31,Changhong/长虹 L9老人机超长待机移动老年手机学生女超薄直板老年机小手机大屏大字大声功能机电信老人手机,99,10000,慕尚年华数码专营店,4.85493,值得
249,纽曼X8迷你手机全网通4G微型卡片手机移动联通电信超薄触屏网红袖珍男女学生备用安卓小手机智能,399,1403,纽曼汇融通达专卖店,4.86473,不值得 
241,华为honor/荣耀 荣耀8全新全网通电信正品 9青春版8x智能4G手机,739,1453,缤琪斯,4.89253,不值得 
70,【64GB优惠高达300元】华为HONOR/荣耀 荣耀8X MAX官网全新正品智能商务大屏全面屏手机官方旗舰店学生音乐,1699,4319,荣耀官方旗舰店,4.84742,一般
360,现货Xiaomi/小米 小米9SE小米9se全面屏尊享布朗熊限量版新手机,1799,1001,heatlinda,4.80853,不值得 
339,【抢券立减】Xiaomi/小米 小米8 青春版全面屏智能拍照游戏手机学生机小米官方旗舰正品小米9 小米8,1099,1075,苏宁易购官方旗舰店,4.89433,不值得 
225,降价Xiaomi/小米 小米9透明九SE故宫版尊享探索plus手机10骁龙855,2499,1511,品牌机批发店,4.78068,不值得 
238,天语 I10迷你智能手机学生女超小超薄全网通4G移动电信版最小卡片袖珍抖音同款男网红小手机曲面屏备用新款型,499,1460,优机汇数码专营店,4.90738,不值得 
6,【61开门红·64G购机直降150】Huawei/华为 畅享9 Plus 全面屏超清大屏四摄学生智能手机畅享9p,1249,30000,华为官方旗舰店,4.89257,值得
184,分期免息Apple/苹果 iPhone X苹果x国行iphonex手机全网通现货,4400,1775,饼干和面包,4.97522,不值得 
218,Apple/苹果 iPhone X 苹果X iphonex 苹果x 国行 美版X 4G手机,4900,1565,吴继勇2013,4.95622,不值得 
153,【当天发/6期免息/送20重礼】Huawei/华为 P30 手机官方旗舰店正品p30pro降价mate20x/nova4e/p20pro直降官方,3988,1998,同步飞扬数码专营店,4.88018,不值得 
230,Philips/飞利浦 E331K 直板按键手机老人机大屏大字大声超长待机老年机移动,189,1495,飞利浦手机官方旗舰店,4.89138,不值得 
152,【当天发/6期免息/送20重礼】Huawei/华为 P30手机官方旗舰店正品p30pro降价mate20x/nova4e/p20pro直降官方,3988,1998,同步飞扬数码专营店,4.88018,不值得 
349,【6期免息】新品华为HONOR荣耀20全面屏超广角AI四摄麒麟980芯片智能手机正品官方旗舰手机,2699,1045,苏宁易购官方旗舰店,4.89433,不值得 
205,【下单低至7288元】Apple/苹果 iPhone X 256G全网通智能手机苹果10 原封正品iPhonex iPhone10,7588,1659,苏宁易购官方旗舰店,4.89433,不值得 
21,【低至849】华为HONOR/荣耀畅玩8C全面屏手机4G全网通手机智能手机全新手机正品学生手机官方旗舰店备用手机,899,15000,荣耀官方旗舰店,4.84742,值得
88,【爆款直降10元】Nokia/诺基亚 新105 长待机直板按键功能机 经典迷你学生老年老人备用小手机 官方正品,139,3515,诺基亚手机官方旗舰店,4.81227,一般
162,纽曼C18 军工三防老年手机超长待机老人手机大字大屏大声老人机电信移动联通版老年机户外手机学生手机全网通,58,1975,嘉宇金成数码专营店,4.92681,不值得 
328,华为HONOR/荣耀play4G全网通青春学生游戏手机荣耀官方旗舰店双摄新pIay星云紫 6+64GB,1699,1110,荣耀官方旗舰店,4.84742,不值得 
295,优惠850当天发送好礼Huawei/华为 P30 Pro手机官方旗舰店/华为P30pro直降价正品P20新款华为mate20pro/nova4e,5488,1207,能良数码官方旗舰店,4.8545,不值得 
148,【全新官方正品】DOOV/朵唯V31C移动联通4G老人老年智能超薄手机学生价女性5G大屏大字超长待机网络新手机,289,2078,移联翼数码专营店,4.94714,不值得 
40,正品K-Touch/天语 L660老人机翻盖手机老年机超长待机老人手机大声大屏大字移动电信版男女学生军工三防备用,119,7500,创佰亿数码专营店,4.91166,一般
278,Samsung/三星 GALAXY S8 SM-G9500新款盖乐世S8+plus三网通4G手机,1498,1255,沈建伟1994,4.96411,不值得 
312,Samsung/三星 Galaxy S10+ SM-G9750 三星S10港行港版 韩版手机,3558,1150,肥鹏展翅,4.90359,不值得 
79,Xiaomi/小米 小米9透明九se故宫版10尊享探索plus新手机骁龙855,2699,3813,heatlinda,4.80853,一般
8,【1-2日券后1499】Xiaomi/小米redmi note 7 pro 红米索尼4800万智能老年学生商务大电量手机k20官方旗舰店9,1599,25000,小米官方旗舰店,4.87582,值得
71,Neken/尼凯恩 EN3C正品三防军工直板超长待机 移动电信版老年机老人手机女款学生大屏大字大声按键备用小手机,99,4273,尼凯恩旗舰店,4.88192,一般
315,【6.1限时优惠400元 1599起】OPPO R15x 全网通屏幕指纹手机全面屏美颜旗舰正品4Goppor15x冰萃银 6+128GB,1699,1143,oppo官方旗舰店,4.85593,不值得 
216,【495起】Huawei/华为 畅享8e华为官方旗舰店正品手机畅享9 9Plus手机老年智能老人机荣耀9i畅玩7 x 8e青春版,495,1578,八连星手机专营店,4.77617,不值得 
81,纽曼 N99三防军工直板老人机老年手机超长待机大屏大字大声移动电信老人手机正品女款学生功能按键备用小手机,58,3727,德隆兴盛数码专营店,4.90146,一般
209,免息直降520元华为p30pro官网HUAWEI HUAWEI P30官方旗舰手机降价,3508,1623,国货平价网,4.86852,不值得 
9,【限时优惠200元】华为HONOR荣耀8X全面大屏幕指纹解锁智能游戏青春学生新手机老年人电话机官方网旗舰店,1199,25000,荣耀官方旗舰店,4.84742,值得
4,【61开门红·旗舰新品 6期免息】Huawei/华为 P30全面屏超感光徕卡三摄变焦双景录像980芯片智能手机p30,3988,40000,华为官方旗舰店,4.89257,值得
347,YEPEN/誉品 YP99超长待机4G全网通网络 移动联通电信按键直板智能正品三防备用男女新功能户外老年机老人手机,238,1050,誉品旗舰店,4.89507,不值得 
283,直降1590正品官方Huawei/华为 Mate 20 Pro全面屏手机P30降价20X,2798,1245,深圳一航,4.88613,不值得 
197,官网现货OnePlus/一加7pro手机官方旗舰一加手机7t1+7pro 1加7pro,2999,1692,wezebaba,4.81833,不值得 
195,正品coolpad/酷派酷玩7c学生价指纹一体智能手机全网通全面屏超薄游戏8官方旗舰店7官网老人老年5网络新手机g,499,1703,蒙奇数码专营店,4.82843,不值得 
263,【6.1日领券减80元+送手环】Xiaomi/小米 红米7手机小米官方旗舰店redmi7A正品5新款note7pro6学生8老人7plus,699,1331,三际数码官方旗舰店,4.8495,不值得 
194,可减386元/当天发/Huawei/华为 畅享9 PLUS官网官方旗舰店正品手机新款荣耀8X畅想9P/9s/mate20/nova4/P30pro,1199,1704,能良数码官方旗舰店,4.8545,不值得 
87,纽曼 V7儿童手机小学生直板老人机可爱女款男迷你汽车跑车非智能按键移动电信版超薄老年正品卡片戒网小手机,75,3629,纯林伟业数码专营店,4.80525,一般
242,【12期免息 全场加赠灯光音响】OPPO Reno 全面屏全网通4800万超清智能拍照手机官方旗舰正品 K1R17R15,2999,1452,苏宁易购官方旗舰店,4.89433,不值得 
140,小辣椒 新 105全网通4G老人老年手机WiFi版超长待机大字大声大屏老年机正品联通4G直板按键智能机诺基亚电信,158,2192,万诚春数码专营店,4.91468,不值得 
135,优思翻盖老年手机老人机女款男移动电信4G版大屏大字大声超长待机智能军工正品可爱按键学生备用功能机翻盖式,96,2215,优机汇数码专营店,4.90738,不值得 
24,【旗舰新品 保价618】华为HONOR荣耀20全面屏超广角AI四摄麒麟980芯片智能手机正品官方旗舰PRO手机,2699,10000,荣耀官方旗舰店,4.84742,值得
343,翻盖迷你儿童手机可爱卡通男女孩学生超小定位 Taiml/泰美利 K688,128,1063,泉兴时尚数码店,4.70191,不值得 
287,Apple/苹果iPhone XR苹果xr iphonexr xs max双卡4G苹果8手机分期,4217,1236,深圳量今古科技有限公司,4.92742,不值得 
239,到手价1048起 vivo Z3手机限量全新正品vivoz3 z3x u1 y73 93 x23 vivoz3i z1青春版官方旗舰店 z3vivo z bbk,1148,1458,vivo欧曙专卖店,4.92403,不值得 
22,【6月1日至高省200】vivo U1水滴全面屏大电池拍照智能4G官方手机面部指纹双识别vivou1 y73 z1 Z3 iqoo u,749,15000,vivo官方旗舰店,4.88112,值得
166,Philips/飞利浦 E183A老人手机大屏大字大声老年手机超长待机双卡双待按键手机语音王全网通电信老人手机正品,158,1943,金蛇数码专营店,4.9644,不值得 
0,【抢券低至4548元起】Apple/苹果 iPhone XR 全网通4G手机双卡双待 苹果iPhoneXR 苹果xr,5288,90000,苏宁易购官方旗舰店,4.89433,值得
207,6期免息+直降200元/华为honor/荣耀 荣耀10青春版全面屏手机降价官方旗舰店V20官网128G新款v10荣耀20i上市11,1299,1645,三际数码官方旗舰店,4.8495,不值得 
147,Samsung/三星 GALAXY S8+ SM-G9550 盖乐世S8 plus全网通4G手机,1446,2094,ziyo数码,4.88842,不值得 
231,Samsung/三星 Galaxy A70 SM-A7050 4G智能手机 屏下指纹解锁学生全新全网通游戏官方正品拍照手机大容量电池,2499,1492,三星官方旗舰店,4.84885,不值得 
359,索爱 SA-Z9翻盖手机老人机移动电信版老人手机大字体大声天翼新款老年机超长待机大屏学生男女款老年手机正品,172,1002,索爱宝安专卖店,4.92647,不值得 
64,【4G全网通】硕王 S3正品三防军工直板超长待机 移动电信版老年机老人手机女学生大屏大字大声按键备用小手机,49.9,4799,硕王旗舰店,4.9125,一般
281,【4G全网通】小辣椒G2老年手机大字大屏大声正品老人手机超长待机移动联通电信版老人机超薄直板按键学生男女,56,1250,嘉宇金成数码专营店,4.92681,不值得 
294,Apple/苹果 iPhone XS Max 苹果xsmax iphone xs max 双卡4G手机,4250,1217,jeyven,4.86907,不值得 
114,K-Touch/天语超薄超小迷你卡片小手机移动电信全网通4G双卡人脸解锁袖珍学生男女备用网红个性智能手机,449,2718,锦万数码专营,4.87026,不值得 
47,【抢券低至6998元】Apple/苹果 iPhone Xs Max 64G 全网通4G手机双卡双待苹果iPhonexsmax,7888,6000,苏宁易购官方旗舰店,4.89433,一般
269,vivo Z3全新机手机正品 新款 vivoz3官方旗舰店官 新品vivoz4 vivo z3x z3i z1 x21 x23 x20 x30 x7 x9限量版,1148,1278,首佳誉数码专营店,4.90391,不值得 
124,免息降500华为p30pro送无线充HUAWEI HUAWEI P30 PRO官方正品手机,3508,2537,深港通信专卖,4.8813,不值得 
67,【购机赠耳机】Xiaomi/小米 红米Note 7 双摄4800万智能拍照全面屏手机小米官方旗舰正品红米note7 小米9 8,999,4519,苏宁易购官方旗舰店,4.89433,一般
36,【61开门红·购机直降200】Huawei/华为 畅享9 32G全面屏千元高清珍珠屏长续航学生正品智能游戏手机,799,9500,华为官方旗舰店,4.89257,一般
341,全网通老人机超长待机军工三防4G网络移动联通电信版大声老年手机,188,1072,紫向日葵,4.79187,不值得 
86,Apple/苹果 iPhone X 苹果8x 港版4G手机全新iphonexs10 国行美版,4280,3634,周减减,4.96758,一般
351,一加7pro OnePlus/一加 GM1910手机官方旗舰官网7t1+7pro 1加7pro,2999,1034,品牌机批发店,4.78068,不值得 
329,【6期免息】华为honor/荣耀 荣耀10青春版手机官方旗舰店8x正品V20/畅享9plus降价play官网手机20i/9s/nova4e,1299,1110,京合旗舰店,4.86087,不值得 
297,【优惠600元】Nokia/诺基亚 X6 4+64GB 智能全面屏手机长待机 4G全网通双卡双待 旗舰店官方正品,899,1204,诺基亚手机官方旗舰店,4.81227,不值得 
288,正品三防老年智能手机全网通4G超长待机大字大声老人机OUBOO Q98+,299,1233,添财数码广场,4.93011,不值得 
91,顺丰速发【新品】Huawei/华为 畅享9珍珠屏华为官网官方旗舰店nova4i青春版MAXplus/mate20pro超长待机手机,849,3341,小淘器数码专营店,4.87663,一般
355,再领300元券 vivo iQOO游戏手机爱酷艾酷新款 vivoiqoo x21 x23 z3 vivox30 nex幻彩限量版官方旗舰店iq00,2798,1017,茂鹏数码专营店,4.93089,不值得 
110,【3期免息 限时低至1099起】OPPO K1全面屏拍照屏幕指纹美颜骁龙旗舰手机全新官方正品旗舰店oppor17 oppok1,1199,2848,苏宁易购官方旗舰店,4.89433,不值得 
208,当天发+送手环/华为honor/荣耀 荣耀20i手机官方旗舰店新品降价10青春8x畅享11x学生10i上市官网9i特别版V20,1599,1640,三际数码官方旗舰店,4.8495,不值得 
326,Lenovo/联想 K5 pro 6英寸全面屏前后四摄双卡双待全网通手机,848,1115,联想手机旗舰店,4.74825,不值得 
214,Samsung/三星Galaxy S10+ SM-G9750骁龙855五摄超感官全视屏IP68防水全网通4G旗舰游戏全新智能手机官方正品,6999,1588,三星官方旗舰店,4.84885,不值得 
84,【领券立减】Xiaomi/小米 红米Note 7 Pro 索尼4800万智能拍照手机小米官方旗舰正品 小米9 红米note7,1599,3668,苏宁易购官方旗舰店,4.89433,一般
182,官网Xiaomi/小米 Redmi 7 红米7a全面屏7pro官方正品新手机小米7x,668,1801,龙通店,4.77704,不值得 
210,ZTG/中天语 A9卡片手机迷你可爱儿童男女学生移动电信网红小手机,58,1618,朵儿妈的生活,4.89829,不值得 
97,【6.1-6.2领券减100】Meizu/魅族 Note9 高通骁龙675处理器4800万AI双摄大电池学生游戏老人大屏智能手机,1398,3169,魅族官方旗舰店,4.81986,一般
141,【购机赠精品配件】华为HONOR/荣耀荣耀20i新品3200万AI自拍照渐变色官方旗舰店珍珠全面屏学生手机正品赢V20,1599,2189,荣耀官方旗舰店,4.84742,不值得 
257,立省220元 vivo Z3X手机 新品vivoz3限量版 vivoz3x z3x手机vivox21 x9 vivoz3 z1 x23 x30 iqoo vivoz3手机,998,1362,三际数码官方旗舰店,4.8495,不值得 
219,当天发 OPPO A9 oppoa9手机限量版官网 oppo新品a9 oppoa9splus k1 a 3 a5 r17 a7x未来a9s r9s a9x 0ppo旗舰,1399,1547,三际数码官方旗舰店,4.8495,不值得 
296,【6期免息】Huawei/华为 nova4e 手机官方旗舰店p30官网新品nova4/mate20pro/3i/p20/荣耀20正品手机降价了12,1799,1207,京合旗舰店,4.86087,不值得 
240,【最高直降300】Huawei/华为 nova 4e AI超广角三摄全面屏正品智能关晓彤代言手机nova4e,1799,1454,苏宁易购官方旗舰店,4.89433,不值得 
260,【到手价低至4899元起】Apple/苹果 iPhone XR 移动4G+版 苹果xr iphonexr 苹果xr手机iphone xr,4899,1345,中国移动手机官方旗舰店,4.7983,不值得 
201,领300券 vivo iQOO手机 vivoiqoo手机 iqoo限量版 iq00 vivox23 vivo×30 vivox27 x21 x23幻彩 x9爱酷手机,2798,1680,三际数码官方旗舰店,4.8495,不值得 
37,原装正品Neken/尼凯恩 EN8老人机超长待机直板女款大屏大字大声移动电信版老年手机儿童学生功能按键备用机,49,9000,淘杰翔数码专营店,4.90338,一般
85,【优惠高达900元】荣耀NOTE10 华为HONOR/荣耀 官方旗舰店官网大屏幕液冷散热正品吃鸡新款游戏手机Play,1999,3644,荣耀官方旗舰店,4.84742,一般
246,【6期免息】华为honor/荣耀 荣耀8X官方旗舰店正品学生手机官网V20新8Xmax系列10青春版magic2千元霸屏9i降价,1299,1441,京合旗舰店,4.86087,不值得 
115,正品创星（手机）V3超薄卡片手机儿童电信版移动迷你戒网可爱学生男生女生非智能个性袖珍网红超小备用小手机,63,2678,徐州联强数码专营店,4.86752,不值得 
102,K-Touch/天语 T2老人机超长待机直板大屏大字大声老年手机学生功能移动按键手机 官方正品,79,3031,苏宁易购官方旗舰店,4.89433,一般
39,【61开门红·领券减50 买赠华为耳机】Huawei/华为畅享9S华为新品手机2400万三摄超大广角夜拍超级夜景,1499,7500,华为官方旗舰店,4.89257,一般
77,vjvj X21S全面屏学生价安卓超薄游戏指纹智能电信全网通手机正品,398,3907,华信通商城,4.60665,一般
313,纽曼 C9三防手机正品军工全网通电信版老人机超长待机老年机移动老人手机女款学生大屏大字大声按键备用手机,168,1150,创于佳讯数码专营店,4.87662,不值得 
108,纽曼 Q99+正品卡片手机电信移动超薄迷你可爱袖珍直板按键儿童学生戒网男女备用手机网红个性非智能超小手机,63,2886,好易用数码专营店,4.89119,不值得 
111,【限时优惠高达600元】华为HONOR/荣耀V20全视屏新品麒麟980处理器4800万AI摄影智能游戏手机10官网,2899,2793,荣耀官方旗舰店,4.84742,不值得 
183,UniscopE/优思 8S8移动联通电信全网通4G迷你安卓智能超薄超小袖珍男女卡片学生备用网红抖音同款小手机,238,1783,航舰达数码专营店,4.90428,不值得 
236,【12期免息赠智能手环】vivo X27Pro4800万广角夜景三摄8+256G运存正品智能4G手机新品vivoX27 x27pro x27,3998,1464,vivo官方旗舰店,4.88112,不值得 
134,当天发3期免息+送运动手环现货】华为honor/荣耀 荣耀20i全面屏手机官方旗舰店新正品10青春11x降价8x官网V20,1599,2238,广东电信亿品汇专卖店,4.84214,不值得 
306,索爱 Z58翻盖老人手机超长待机大字大声大屏老年手机正品双屏商务老年机男女儿童学生诺基亚迷你三防老人机,168,1171,创基成数码专营店,4.97287,不值得 
251,天语A1超薄迷你卡片手机移动联通小学生手机女生男生非智能戒网手机超长待机可爱儿童直板网红特小手机正品,135,1401,天语强宇专卖店,4.85849,不值得 
280,官方Xiaomi/小米 redmi note 7 pro新红米note7pro小金刚手机k20,1478,1253,龙通店,4.77704,不值得 
352,可减386/当天发/Huawei/华为 畅享9 PLUS官网官方旗舰店正品手机nova4e新款畅想9p荣耀8Xmate20/P30pro降价9s,1199,1030,三际数码官方旗舰店,4.8495,不值得 
324,正品R17超薄6.3学生价游戏安卓智能移动联通电信全网通4G双卡手机,498,1118,海亿实业,4.9056,不值得 
180,官方正品 创星S9C军工三防全网通4G老年手机老人机WIFI版超长待机王大字大声大屏电霸电信联通4G诺基亚经典,228,1812,百灵佳讯数码专营店,4.97648,不值得 
