,标题,价格,销量,店铺
7,【6月1日至高直降300】vivo iQOO生而强悍高通骁龙855处理器水滴全面屏智能游戏正品手机官网 vivoiQOO iqoo,2798.0,15000,vivo官方旗舰店
225,【抢券省250赠礼】vivo Z5x极点全面屏超广角三摄高通骁龙710处理器智能手机官方正品新品vivoz5x z5 z3,1398.0,15000,vivo官方旗舰店
273,【低至849】华为HONOR/荣耀畅玩8C全面屏手机4G全网通手机智能手机全新手机正品学生手机官方旗舰店备用手机,899.0,15000,荣耀官方旗舰店
172,【6月1日至高省200】vivo U1水滴全面屏大电池拍照智能4G官方手机面部指纹双识别vivou1 y73 z1 Z3 iqoo u,749.0,15000,vivo官方旗舰店
6,【领券低至2399元】华为HONOR/荣耀V20新品全视屏麒麟980处理器4800万AI摄影智能游戏学生手机10官网,2699.0,10000,荣耀官方旗舰店
168,【旗舰新品 保价618】华为HONOR荣耀20全面屏超广角AI四摄麒麟980芯片智能手机正品官方旗舰PRO手机,2699.0,10000,荣耀官方旗舰店
113,【61开门红·最高直降300】Huawei/华为 nova4e AI超广角三摄全面屏正品智能关晓彤代言手机nova4e,1799.0,10000,华为官方旗舰店
46,【6月1日享三期免息】realme X 索尼4800万 升降全面屏 VOOC 闪充 3.0 全网通双卡双待正品智能手机,1499.0,10000,realme官方旗舰店
167,【6+64GG限时优惠300元】华为HONOR/荣耀10青春版V珍珠全面屏渐变色双卡双待全网通学生手机20官方旗舰店,1299.0,10000,荣耀官方旗舰店
121,【6.1限时优惠300元 1099元起】OPPO K1屏幕指纹全面屏拍照4G智能手机正品学生全网通官方游戏旗舰oppok1,1199.0,10000,oppo官方旗舰店
119,【6月1日至高省350】vivo Z3x全面屏智能双摄全网通4G官方旗舰店官网全新限量版手机vivoz3 z3 z1 z3x u1 z,998.0,10000,vivo官方旗舰店
520,纽曼 F9老年机翻盖手机大屏大字大声移动联通4G全网通老人手机超长待机正品男女款电信版老年手机学生老人机,159.0,10000,慕尚年华数码专营店
919,Changhong/长虹 L9老人机超长待机移动老年手机学生女超薄直板老年机小手机大屏大字大声功能机电信老人手机,99.0,10000,慕尚年华数码专营店
1075,4G全网通天语 T2A老人机超长待机正品老年手机大屏大字大声移动联通电信版天翼直板大按键功能小学生老人手机,69.0,10000,科音数码专营店
1433,纽曼 L8S军工三防老人机超长待机大字大声大屏老年手机移动电信版老人手机正品学生女款功能按键直板小备用机,58.0,10000,深圳易乐购数码专营店
1481,创星S1老年手机老人机超长待机女款男智能大屏大字大声全网通移动电信版正品军工三防大按键学生直板小手机4g,55.0,10000,炜广天成数码专营店
116,【赠99元圈铁耳机】Xiaomi/小米 小米9SE骁龙712全面屏米9拍照游戏智能手机4800万三摄K20指纹8se红米Note7P,1999.0,9500,小米官方旗舰店
219,【61开门红·购机直降200】Huawei/华为 畅享9 32G全面屏千元高清珍珠屏长续航学生正品智能游戏手机,799.0,9500,华为官方旗舰店
1746,原装正品Neken/尼凯恩 EN8老人机超长待机直板女款大屏大字大声移动电信版老年手机儿童学生功能按键备用机,49.0,9000,淘杰翔数码专营店
929,正品Nokia/诺基亚 新105老人机移动4G超长待机直板按键大字大声经典老年机学生儿童备用迷你小手机官方旗舰店,139.0,8000,天讯蓝图数码专营店
218,【61开门红·领券减50 买赠华为耳机】Huawei/华为畅享9S华为新品手机2400万三摄超大广角夜拍超级夜景,1499.0,7500,华为官方旗舰店
1093,正品K-Touch/天语 L660老人机翻盖手机老年机超长待机老人手机大声大屏大字移动电信版男女学生军工三防备用,119.0,7500,创佰亿数码专营店
171,【6+64G下单低至1299】Xiaomi/小米 小米8 青春版全面屏智能拍照游戏手机学生商务9官方旗舰店正品note7,1499.0,7000,小米官方旗舰店
10,【12期免息赠智能手环】vivo X27 4800万广角夜景三摄8+256G大运存全网通正品智能4G手机vivoX27 x27 x23,3198.0,6500,vivo官方旗舰店
109,【抽奖立减300】realme X青春版 骁龙710 4045mAh大电池 VOOC 闪充 3.0 2500万自拍 全网通正品智能手机,1199.0,6500,realme官方旗舰店
272,【61开门红·新品千元机】Huawei/华为畅享9e全面屏珍珠屏千元智能手机华为正品官方手机,999.0,6500,华为官方旗舰店
1670,纽曼 W560儿童手机 小学生直板可爱男女款迷你按键移动电信版正品非智能手表老人机棒棒机备用老年机卡片手机,78.0,6500,深圳易乐购数码专营店
2252,索品 S2老人机老年手机超长待机按键直板大屏大字大声移动联通电信版老人手机正品功能机女款学生备用小手机,39.0,6500,索品数码专营店
163,【抢券低至6998元】Apple/苹果 iPhone Xs Max 64G 全网通4G手机双卡双待苹果iPhonexsmax,7888.0,6000,苏宁易购官方旗舰店
2496,【一年换新】新Nokia/诺基亚105 手机移动直板按键学生老人备用机 诺基亚 老人手机 诺基亚105 官方旗舰店,139.0,6000,苏宁易购官方旗舰店
979,纽曼 L660老人机翻盖手机联通4G移动电信版手机大字大声正品超长待机按键老年手机大屏男女语音王军工老年机,109.0,6000,青柠时代数码专营店
108,Apple/苹果 iPhone XS Max 苹果xs max 苹果XR双卡正品手机8X国行,3742.2,5500,亦儿手机店
270,【6期免息】Xiaomi/小米 小米9 骁龙855全面屏索尼4800万三摄指纹游戏手机小米官方旗舰正品小米9se 9,2999.0,5500,苏宁易购官方旗舰店
11,【6.1限时优惠400元 1799元起】OPPO R17全面屏拍照手机AI智能屏幕指纹美颜4G全网通学生旗舰正品oppor17,1999.0,5500,oppo官方旗舰店
429,【抢券最高省450 1048起】vivo Z3全面屏高通骁龙710AIE处理器全网通智能4G手机vivo官方旗舰正品vivoz3 Z3 z,1148.0,5500,苏宁易购官方旗舰店
277,【抢券至高省200】vivo Z1青春版全面屏智能双摄全网通4G官方旗舰店官网正品限量手机vivoz1 y73 u1 z3 z,949.0,5500,vivo官方旗舰店
1223,【18个月长质保】Xiaomi/小米 红米7 骁龙632双摄智能拍照水滴屏手机小米官方旗舰正品小米9 红米note7,799.0,5500,苏宁易购官方旗舰店
631,Philips/飞利浦 E258S 直板老人机大字大声大屏超长待机老年手机男女款移动 双卡双待按键学生备用机诺基亚,154.0,5500,蒙帝鸿运数码专营店
27,Apple/苹果 iPhone XS Max苹果xs max苹果xr美版有锁4G双卡手机8X,4355.01,5000,中华淘购网店
26,【官方旗舰店3期免息】Meizu/魅族 16s旗舰新品4G智能全网通4800万OIS光学防抖骁龙855全面屏手机,3198.0,5000,魅族官方旗舰店
129,【6.1享3期免息 赠加湿器】OPPO A9全面屏AI智能双摄美颜拍照长续航大内存正品学生全网通4G手机oppoa5 a7 a3,1399.0,5000,oppo官方旗舰店
148,Philips/飞利浦 E212A翻盖老人手机超长待机大字大声大屏老年手机正品双屏商务手机男女备用学生按键老人机,268.0,5000,伟业恒通数码专营店
13,【新色上市 6.1 0点预售】OPPO Reno opporeno全面屏正品官方旗舰新品全网通4800万超清拍照智能手机R15 R17,2999.0,4900,oppo官方旗舰店
165,【61开门红·领优惠券减200元 6期免息】Huawei/华为 Mate 20 Pro 曲面屏后置徕卡三镜头980芯片智能手机,4899.0,4835,华为官方旗舰店
503,Apple/苹果 iPhone XR iPhonexr 苹果xs max双卡美版国行手机,4220.0,4810,哦了个可可
2239,【4G全网通】硕王 S3正品三防军工直板超长待机 移动电信版老年机老人手机女学生大屏大字大声按键备用小手机,49.9,4799,硕王旗舰店
170,【6月1日至高直降300】vivo S1升降摄像头零界全面屏全网通智能4G手机官方正品vivos1 s1 X27 iqoo x23 s,1798.0,4754,vivo官方旗舰店
231,【限时最高优惠200元】OPPO A5 全面屏AI双摄美颜拍照长续航正品学生老人智能全网通4G手机oppoa5,799.0,4531,oppo官方旗舰店
641,【购机赠耳机】Xiaomi/小米 红米Note 7 双摄4800万智能拍照全面屏手机小米官方旗舰正品红米note7 小米9 8,999.0,4519,苏宁易购官方旗舰店
217,【6.1-6.2 低至1799 享6期免息】OPPO R17全面屏拍照手机AI智能屏幕指纹官方旗舰店正品oppor17 x23,1999.0,4410,苏宁易购官方旗舰店
322,【享6期免息】Xiaomi/小米 小米9SE 骁龙712水滴全面9屏拍照游戏智能手机4800万三摄官方旗舰正品 小米9,1999.0,4327,苏宁易购官方旗舰店
274,【64GB优惠高达300元】华为HONOR/荣耀 荣耀8X MAX官网全新正品智能商务大屏全面屏手机官方旗舰店学生音乐,1699.0,4319,荣耀官方旗舰店
1486,Neken/尼凯恩 EN3C正品三防军工直板超长待机 移动电信版老年机老人手机女款学生大屏大字大声按键备用小手机,99.0,4273,尼凯恩旗舰店
1301,纽曼 R15超薄迷你卡片手机移动电信小学生手机女生男生非智能戒网瘾手机超长待机可爱儿童直板网红小手机正品,135.0,4267,纽曼世腾专卖店
536,【32GB下单立减20元】华为HONOR/荣耀畅玩8A 6.09英寸珍珠全面屏青春智能手机官网新品正品学生官方旗舰店,799.0,4115,荣耀官方旗舰店
17,Apple/苹果 iPhone XS Max 苹果xsmax iphone Xs美版有锁4G手机xr,4255.0,3993,雅诺芬
138,至高省300元 2小时闪发 vivo U1手机全面屏vivou1官方旗舰店 y73 vivoy93 y97 vivoz3 z1 x21 x23 x9 vovi u1,749.0,3941,茂鹏数码专营店
871,Philips/飞利浦 E163K 老人机超长待机直板按键大屏大字大声移动联通2G老年手机军工女款小学生迷你备用机,129.0,3939,飞利浦官方旗舰店
1468,vjvj X21S全面屏学生价安卓超薄游戏指纹智能电信全网通手机正品,398.0,3907,华信通商城
253,天语I10 迷你智能手机抖音同款学生男网红小手机女可爱超小超薄特小最小全网通电信4G卡片小屏备用袖珍新款型,494.0,3820,炜广天成数码专营店
191,Xiaomi/小米 小米9透明九se故宫版10尊享探索plus新手机骁龙855,2699.0,3813,heatlinda
1165,酷驰 X23水滴屏学生价安卓超薄游戏指纹智能电信全网通手机正品,388.0,3727,王者通讯2013
2835,纽曼 N99三防军工直板老人机老年手机超长待机大屏大字大声移动电信老人手机正品女款学生功能按键备用小手机,58.0,3727,德隆兴盛数码专营店
216,【6.1-6.2 限时6期免息】Huawei/华为P30麒麟980芯片4000万徕卡三摄超感光录像全面屏时尚手机p30,3988.0,3695,苏宁易购官方旗舰店
1905,小辣椒 G108正品老人机军工三防老年手机超长待机电信版大屏大字大声定位学生机直板迷你备用小手机按键电话,56.0,3674,佳宁数码专营店
375,【领券立减】Xiaomi/小米 红米Note 7 Pro 索尼4800万智能拍照手机小米官方旗舰正品 小米9 红米note7,1599.0,3668,苏宁易购官方旗舰店
221,【优惠高达900元】荣耀NOTE10 华为HONOR/荣耀 官方旗舰店官网大屏幕液冷散热正品吃鸡新款游戏手机Play,1999.0,3644,荣耀官方旗舰店
268,Apple/苹果 iPhone X 苹果8x 港版4G手机全新iphonexs10 国行美版,4280.0,3634,周减减
2360,纽曼 V7儿童手机小学生直板老人机可爱女款男迷你汽车跑车非智能按键移动电信版超薄老年正品卡片戒网小手机,75.0,3629,纯林伟业数码专营店
1239,【爆款直降10元】Nokia/诺基亚 新105 长待机直板按键功能机 经典迷你学生老年老人备用小手机 官方正品,139.0,3515,诺基亚手机官方旗舰店
32,现货Apple/苹果 iPhone XR 苹果xr iphonexr美版国行手机iphone8x,3500.0,3449,华优数码6405
132,新品【当天发+送智能手表】Huawei/华为 畅享9 PLUS官方旗舰店官网正品nova3/4e手机mate20畅想9plus新荣耀8x,1199.0,3344,蓝港数码专营店
193,顺丰速发【新品】Huawei/华为 畅享9珍珠屏华为官网官方旗舰店nova4i青春版MAXplus/mate20pro超长待机手机,849.0,3341,小淘器数码专营店
1153,创星（手机） Z9翻盖手机老人机超长待机电信版老年手机大字大声正品天翼儿童机诺基亚学生手机只可以打电话,118.0,3308,慕尚年华数码专营店
1257,顺丰速发送耳机】Nokia/诺基亚 新105直板老人机迷你小学生备用手机官方旗舰店超长待机老年非智能儿童经典款,139.0,3298,京联通达数码旗舰店
200,送558礼 vivo U1智能手机 vivou1水滴全面屏新品拍照手机官方旗舰店官网 vivoz3 z1 y73 z4 y97 y93s x23,749.0,3283,vivo衡视专卖店
1078,畅享9官网 降价320元HUAWEI 畅享9 华为畅享9plus手机8 畅享9S 9e,618.0,3275,国货平价网
126,【限时领200券】Meizu/魅族 X8 准旗舰游戏拍照手机 骁龙710 6.2英寸全面屏拍照游戏智能手机学生机老人机,1298.0,3238,魅族官方旗舰店
127,【6.1-6.2领券减100】Meizu/魅族 Note9 高通骁龙675处理器4800万AI双摄大电池学生游戏老人大屏智能手机,1398.0,3169,魅族官方旗舰店
248,正品DOOV/朵唯V33全面屏全网通4G老年智能手机大字大声大屏学生价老人机超长待机安卓电信版超薄备用双卡双待,299.0,3130,芝林数码专营店
230,可省800元 vivo Z3手机 新品vivoz3限量版 vivox27 vivoz3 手机vivox21 z1 vivoz3i vivoz4 x9 vivox23手机,1148.0,3118,三际数码官方旗舰店
373,纽曼 S9全网通4G三防老年老人智能手机老年机超长待机电信大字大声大屏军工路虎诺基亚正品电霸老人机联通4G,248.0,3105,佳佳购数码专营店
2556,Swopy/索品 S1老人机超长待机直板按键女款老年手机大屏大字大声移动电信版老人手机正品学生功能备用小手机,49.0,3089,索品数码专营店
3449,K-Touch/天语 T2老人机超长待机直板大屏大字大声老年手机学生功能移动按键手机 官方正品,79.0,3031,苏宁易购官方旗舰店
41,【12期免息丨赠移动电源】 Meitu/美图 T9美图T9手机新款双卡双待美颜拍照手机美图手机正品,1499.0,3024,美图旗舰店
89,【12期免息丨赠移动电源】 Meitu/美图 T9美图T9手机新款双卡双待美颜拍照手机 美图手机正品,1499.0,3024,美图旗舰店
640,【3期免息】Xiaomi/小米8 青春版全面屏智能拍照游戏手机学生商务9官方旗舰正品红米note7,1099.0,2989,苏宁易购官方旗舰店
269,【12期免息 抢券至高省600】vivo iQOO生而强悍高通骁龙855处理器全面屏智能游戏手机官网正品vivoiQOO iqoo,2798.0,2958,苏宁易购官方旗舰店
644,【立减50】华为HONOR/荣耀 畅玩7全面屏手机智能手机官方旗舰店官网全新机正品老人机老年机老年手机全网通,599.0,2919,荣耀官方旗舰店
2416,纽曼 Q99+正品卡片手机电信移动超薄迷你可爱袖珍直板按键儿童学生戒网男女备用手机网红个性非智能超小手机,63.0,2886,好易用数码专营店
2463,皓轩 H5军工三防老人机超长待机女款大屏大字大声直板按键移动电信版老年手机正品学生功能天翼备用小手机,38.8,2872,皓轩手机旗舰店
1117,【3期免息 限时低至1099起】OPPO K1全面屏拍照屏幕指纹美颜骁龙旗舰手机全新官方正品旗舰店oppor17 oppok1,1199.0,2848,苏宁易购官方旗舰店
115,【限时优惠高达600元】华为HONOR/荣耀V20全视屏新品麒麟980处理器4800万AI摄影智能游戏手机10官网,2899.0,2793,荣耀官方旗舰店
177,6期免息+送冰箱/华为honor/荣耀 荣耀8X全面屏手机官方旗舰店学生v10降价11x畅享官网10青春三际20i新品20pro,1299.0,2786,三际数码官方旗舰店
1311,官网/降价320元HUAWEI 畅享9 官方正品全面屏千元手机畅享8 9plus,618.0,2775,龙通店
310,K-Touch/天语超薄超小迷你卡片小手机移动电信全网通4G双卡人脸解锁袖珍学生男女备用网红个性智能手机,449.0,2718,锦万数码专营
2503,正品创星（手机）V3超薄卡片手机儿童电信版移动迷你戒网可爱学生男生女生非智能个性袖珍网红超小备用小手机,63.0,2678,徐州联强数码专营店
1683,小辣椒G2老人机超长待机老年手机大屏大字电信女款移动老人手机大声按键手机全网通正品学生备用小手机,56.0,2670,世光创展数码专营店
15,【3期免息券后价2098元起】Meizu/魅族 16th骁龙845 超窄边框全面屏 屏下指纹解锁 双摄拍照旗舰手机,2298.0,2608,魅族官方旗舰店
1074,官方Xiaomi/小米 Redmi Note 7红米note7pro新手机6a小金刚 k20,978.0,2607,heatlinda
42,分期免息 Apple/苹果 iPhone XR 苹果iphonexr xs max双卡4G手机8,3789.0,2603,王牌风范女装
1436,【抢券至高省200 699起】vivo U1水滴全面屏大电池拍照智能4G官方正品手机指纹双识别vivou1 y73 z1 Z3 iqoo,749.0,2595,苏宁易购官方旗舰店
385,【抢券至高省450赢豪礼】vivo Z3全面屏高通骁龙710处理器闪充智能学生手机官方旗舰店官网正品vivoz3 z3,1298.0,2572,vivo官方旗舰店
323,【6期免息 最高直降300】Huawei/华为 nova4极点全面屏超广角三摄高清易烊千玺代言华为官方旗舰店铺正品手机,2499.0,2555,苏宁易购官方旗舰店
427,K-Touch/天语 X15全网通4G正品老人智能手机大字大声大屏老年机超长待机联通移动电信天翼男女款备用学生手机,389.0,2545,博科雅创数码专营店
187,免息降500华为p30pro送无线充HUAWEI HUAWEI P30 PRO官方正品手机,3508.0,2537,深港通信专卖
3079,Philips/飞利浦 E163K 老人机超长待机直板按键大屏大字大声移动联通2G老年手机军工女款小学生迷你备用机,135.0,2516,苏宁易购官方旗舰店
376,【限时限量低价抢】Apple/苹果 iPhone 7 Plus 32G 全网通4G手机iPhone7plus,3399.0,2507,苏宁易购官方旗舰店
694,【6.1抢券省300 898起】vivo Z3x全面屏智能双摄全网通4G官方旗舰正品全新手机vivoz3 z3 z1 z3x u1 z,998.0,2480,苏宁易购官方旗舰店
1913,【抢先加购】Xiaomi/小米 红米6A智能AI老人学生拍照手机5A升级8周年官方旗舰店正品全网通红米6a,549.0,2457,苏宁易购官方旗舰店
45,现货速发Samsung/三星 Galaxy S10+ SM-G9750三星S10港行港版手机,3298.0,2402,中华淘购网店
1700,【6.1下单立减50】honor/荣耀 畅玩8C全网通智能手机官网全新正品学生官方旗舰店性能续航学生老人拍照手机,899.0,2328,苏宁易购官方旗舰店
493,【抢券至高省200赠豪礼】vivo U1水滴全面屏大电池拍照智能学生老人大屏手机官方旗舰店官网正品vivou1 u 新,749.0,2272,vivo官方旗舰店
570,官方Xiaomi/小米 redmi note 7 pro新手机a红米Note7Pro小金刚k20,1478.0,2241,品牌机批发店
652,Philips/飞利浦 E288 三防老人手机直板老人机大字大声大屏老年手机移动联通军工品质持久续航防尘防摔备用机,239.0,2239,优佳讯数码专营店
102,当天发3期免息+送运动手环现货】华为honor/荣耀 荣耀20i全面屏手机官方旗舰店新正品10青春11x降价8x官网V20,1599.0,2238,广东电信亿品汇专卖店
1694,优思翻盖老年手机老人机女款男移动电信4G版大屏大字大声超长待机智能军工正品可爱按键学生备用功能机翻盖式,96.0,2215,优机汇数码专营店
47,Apple/苹果 iPhone XR 苹果xr 6.1寸iphonexr双卡双待iphonex手机,3200.0,2213,大麦时尚馆
117,【12期免息赠手环】vivo S1pro 4800万广角夜景三摄全面屏全网通智能4G限量版官方手机vivos1 s1 X27 iqoo s,2498.0,2210,vivo官方旗舰店
958,【套餐一享好礼】华为HONOR/荣耀20i 3200万AI高像素自拍渐变色官方旗舰店全面屏学生游戏拍照手机,1599.0,2205,苏宁易购官方旗舰店
3344,【热销爆款】上海中兴守护宝L550 超长待机直板老人手机 大屏大字大声 移动老年手机正品 老人机 学生小手机,85.0,2203,苏宁易购官方旗舰店
1430,小辣椒 新 105全网通4G老人老年手机WiFi版超长待机大字大声大屏老年机正品联通4G直板按键智能机诺基亚电信,158.0,2192,万诚春数码专营店
430,【购机赠精品配件】华为HONOR/荣耀荣耀20i新品3200万AI自拍照渐变色官方旗舰店珍珠全面屏学生手机正品赢V20,1599.0,2189,荣耀官方旗舰店
1708,纽曼 F6 移动电信版翻盖老人手机大声大字大屏男女款老年手机超长待机正品军工三防按键学生备用老年机,98.0,2161,金辉天成数码专营店
937,ZTE/中兴 L660老人翻盖手机大屏大字大声男女移动联通军工老年手机超长待机正品学生备用功能机按键老手机,179.0,2136,天中和数码专营店
40,新品【6期免息+送900元礼】Huawei/华为 nova 4e 官方旗舰店手机正品nova4e官网Mate20pro降价p30pro/荣耀p20,1799.0,2130,蓝港数码专营店
107,3期免息 Apple/苹果 iPhone XR 苹果xr iphonexr双卡 iphonex手机,3688.0,2127,诚信手机有限公司
1030,小辣椒 L9 翻盖手机老人机超长待机大屏大字大声 军工三防老年手机男款商务按键备用机超薄双屏学生机正品,139.0,2104,友欣数码专营店
848,Samsung/三星 GALAXY S8+ SM-G9550 盖乐世S8 plus全网通4G手机,1446.0,2094,ziyo数码
670,【全新官方正品】DOOV/朵唯V31C移动联通4G老人老年智能超薄手机学生价女性5G大屏大字超长待机网络新手机,289.0,2078,移联翼数码专营店
699,vivo U1 手机正品 vivou1新品千元 vivoy73 x27 y81s y83 y97 x9 vivo×30 y93 vivoz1 z3 vivox23手机官网 U,749.0,2062,能良数码官方旗舰店
1745,YEPEN/誉品 N2卡片手机超薄非智能迷你超小袖珍学生男女备用移动电信个性网红小手机同款儿童戒网瘾正品直板,130.0,2055,酷泽数码专营店
363,【爆款直降200】OPPO K1 oppok1手机新款全面屏超薄正品oppo新品 k1 oppor15 r17 r15x a7x r11 a3 k1新品 a9,1199.0,2035,oppo欧曙专卖店
35,【当天发/6期免息/送20重礼】Huawei/华为 P30手机官方旗舰店正品p30pro降价mate20x/nova4e/p20pro直降官方,3988.0,1998,同步飞扬数码专营店
83,【当天发/6期免息/送20重礼】Huawei/华为 P30 手机官方旗舰店正品p30pro降价mate20x/nova4e/p20pro直降官方,3988.0,1998,同步飞扬数码专营店
211,Xiaomi/小米 小米9新手机九se透明版尊享探索plus故宫版10骁龙855,2699.0,1994,龙通店
1449,纽曼 F189C老人机翻盖手机大字大声超长待机老年手机移动电信版老人手机按键天翼大屏学生男女款老年机正品,109.0,1993,纽曼亿流专卖店
1753,【 6.1-6.2号32G限时直降200】HUAWEI /华为 畅享9 珍珠屏长续航千元华为官方旗舰智能店铺正品学生手机,799.0,1991,苏宁易购官方旗舰店
19,现货【6期免息】Huawei/华为 nova 4手机官方旗舰店nova4e官网p30 pro新款降价mate20正品nova3i学生手机12,2499.0,1990,京合旗舰店
67,现货【6期免息】Huawei/华为 nova 4 手机官方旗舰店nova4e官网p30 pro新款降价mate20正品nova3i学生手机12,2499.0,1990,京合旗舰店
492,【6.1-2日赠耳机】Xiaomi/小米 Redmi 7 红米7骁龙632八核双摄智能拍照水滴屏手机官方旗舰note7P老人学生机,799.0,1988,小米官方旗舰店
2254,长虹 GA528 老人机超长待机正品直板大屏大字大声移动电信版老年手机男女款学生儿童功能大按键备用小手机,148.0,1987,菜谱数码专营店
1447,【影视会员+耳机】Xiaomi/小米 红米6a 新手机红米6小米7x 5a,488.0,1977,给力不坑爹
2198,纽曼C18 军工三防老年手机超长待机老人手机大字大屏大声老人机电信移动联通版老年机户外手机学生手机全网通,58.0,1975,嘉宇金成数码专营店
23,直降300 vivo iQOO新品vivoiqoo iq00艾酷vivox23骁龙855限量幻彩版 x21 vivox27 nex ×30 iqoo手机vovi爱酷,2798.0,1956,能良数码官方旗舰店
713,正品DOOV/朵唯 V33全面屏全网通4G网络新老年智能手机大字大声大屏学生价老人机超长待机安卓电信版超薄5g,299.0,1956,蒙奇数码专营店
907,可省300抽大奖 vivo U1手机 vivou1全面屏 新品vivo官网 vivoz3 z1 x30 x21 y97 vivoy93s x23 x9 y85手机,749.0,1955,三际数码官方旗舰店
1215,Philips/飞利浦 E183A老人手机大屏大字大声老年手机超长待机双卡双待按键手机语音王全网通电信老人手机正品,158.0,1943,金蛇数码专营店
136,Apple/苹果 iPhone XS Max新苹果 iPhone xs手机xr国行港有锁美版,4528.2,1936,四川分公司
529,纽曼 S9军工三防老人机移动联通电信全网通大字大声大屏直板按键功能机备用老年人手机超长待机天翼正品,248.0,1929,纽曼鹏宇佳业专卖店
210,新品【当天发+直降100】Huawei/华为 畅享9华为官方旗舰店官网正品畅想9plus手机nova3荣耀8x新款mate20免息4,899.0,1924,蓝港数码专营店
14,【新品上市】一加7Pro手机全新正品OnePlus7pro 骁龙855 一加七 6t 1+7T 一加7手机官方旗舰店官网 一加7pro,4579.0,1890,一加创华威专卖店
189,免息直降510华为p30pro送无线充HUAWEI HUAWEI P30 PRO价官方手机,3508.0,1884,赛西湖
192,立减200元仅998起 vivo Z3x 全新官方旗舰店正品 vivoz3限量版vivoz3x手机vivox21 z4 vivox23 vivoz3x z,998.0,1877,同步飞扬数码专营店
2967,Philips/飞利浦 E107老人机超长待机移动老年手机正品男女按键直板老年机小手机大屏大字大声学生机老人手机,99.0,1877,伟业恒通数码专营店
111,【抢券低至7588元起】Apple/苹果 iPhone Xs 256G/512G 移动联通电信全网通4G手机 官方正品苹果iPhoneXs,8688.0,1857,苏宁易购官方旗舰店
1966,【 3期免息】OPPO A5全面屏AI双摄美颜长续航手机官方正品旗舰店oppoa,799.0,1846,苏宁易购官方旗舰店
3941,军工三防老人机超长待机全网通电信联通4G老年手机新路虎时代k968,67.2,1845,紫向日葵
203,官网OnePlus/一加7pro手机官方旗舰6一加手机7t全新品1+7T骁龙855,2999.0,1832,白开水的点燃方式
