,标题,价格,销量,店铺,店铺信誉分,等级
173,Philips/飞利浦 E107老人机超长待机移动老年手机正品男女按键直板老年机小手机大屏大字大声学生机老人手机,99,1877,伟业恒通数码专营店,4.9684,不值得
303,新款Nokia/诺基亚 新106老人机超长待机直板按键功能机官方旗舰店大字大声老年机学生儿童备用迷你经典小手机,159,1184,天讯蓝图数码专营店,4.856,不值得
276,正品 VOTO IX20 水滴屏全网通4G指纹人脸解锁超薄游戏智能手机,368,1259,zhengpeijie49,4.89183,不值得
350,3期免息 送自拍大礼包】Meitu/美图 M8S手机正品m8s正品4G官方旗舰店T8s正品V7 m6s t9 t8 V6,889,1038,美图旅之丰专卖店,4.68853,不值得
310,Samsung/三星 GALAXY S8 SM-G9500港版美版双卡曲屏S8+plus手机,1498,1153,小萝卜通讯,4.8493,不值得
163,直降300 vivo iQOO新品vivoiqoo iq00艾酷vivox23骁龙855限量幻彩版 x21 vivox27 nex ×30 iqoo手机vovi爱酷,2798,1956,能良数码官方旗舰店,4.8545,不值得
273,优惠850当天发6期免息/Huawei/华为 P30 Pro手机官方旗舰店正品华为p30pro降价mate20x/p20直降官网nova4/4e,5488,1267,三际数码官方旗舰店,4.8495,不值得
49,纽曼 L660老人机翻盖手机联通4G移动电信版手机大字大声正品超长待机按键老年手机大屏男女语音王军工老年机,109,6000,青柠时代数码专营店,4.91648,一般
196,可省800元 vivo Z3手机vivoz3 z4限量版 vivoz3i z1 x9 vivox27 x21 vivox23 y93 voviz3手机官方网新品,1148,1693,能良数码官方旗舰店,4.8545,不值得
66,【限时最高优惠200元】OPPO A5 全面屏AI双摄美颜拍照长续航正品学生老人智能全网通4G手机oppoa5,799,4531,oppo官方旗舰店,4.85593,一般
59,【6.1享3期免息 赠加湿器】OPPO A9全面屏AI智能双摄美颜拍照长续航大内存正品学生全网通4G手机oppoa5 a7 a3,1399,5000,oppo官方旗舰店,4.85593,一般
342,【12期免息赠多重礼】vivo X27 4800万广角夜景三摄大运存全网通官方旗舰正品智能4G手机vivox27 vivoX27 x23,3198,1071,苏宁易购官方旗舰店,4.89433,不值得
60,Philips/飞利浦 E212A翻盖老人手机超长待机大字大声大屏老年手机正品双屏商务手机男女备用学生按键老人机,268,5000,伟业恒通数码专营店,4.9684,一般
5,【1-2日赠耳机】Xiaomi/小米 Redmi 红米Note7 大屏幕智能4800万老人手机新9官方旗舰店k20正品5学生note7pro,999,40000,小米官方旗舰店,4.87582,值得
358,免息当天发realme X青春版realmex手机官方旗舰opporealmex青春版,1219,1010,wezebaba,4.81833,不值得
164,正品DOOV/朵唯 V33全面屏全网通4G网络新老年智能手机大字大声大屏学生价老人机超长待机安卓电信版超薄5g,299,1956,蒙奇数码专营店,4.82843,不值得
155,纽曼 F189C老人机翻盖手机大字大声超长待机老年手机移动电信版老人手机按键天翼大屏学生男女款老年机正品,109,1993,纽曼亿流专卖店,4.88247,不值得
334,【3期免息套餐赠好礼】OPPO A9全面屏AI智能双摄美颜拍照长续航大内存正品学生全网通4G手机oppoa5 a7 a3,1399,1092,苏宁易购官方旗舰店,4.89433,不值得
58,【官方旗舰店3期免息】Meizu/魅族 16s旗舰新品4G智能全网通4800万OIS光学防抖骁龙855全面屏手机,3198,5000,魅族官方旗舰店,4.81986,一般
356,【6+128G】Xiaomi/小米 Redmi Note 7 Pro 骁龙675新品4800万智能手机官方旗舰店正品红米note7pro,1599,1017,小米官方旗舰店,4.87582,不值得
333,【领50元优惠券+当天发】选手环Xiaomi/小米RedmiNote7手机红米Note7pro小金刚6官方旗舰店8青春max2红米K20,999,1100,三际数码官方旗舰店,4.8495,不值得
62,【61开门红·领优惠券减200元 6期免息】Huawei/华为 Mate 20 Pro 曲面屏后置徕卡三镜头980芯片智能手机,4899,4835,华为官方旗舰店,4.89257,一般
